business_status,formatted_address,geometry,icon,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,permanently_closed
OPERATIONAL,"2893 Broadway, New York, NY 10025, United States","{'location': {'lat': 40.8059222, 'lng': -73.9657833}, 'viewport': {'northeast': {'lat': 40.80723837989272, 'lng': -73.96434252010728}, 'southwest': {'lat': 40.80453872010728, 'lng': -73.96704217989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Community Food & Juice,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102912697363536249196"">Pavel Samsonov</a>'], 'photo_reference': 'ATtYBwK3cjKhsNBhJTBtfz_fb2737p7-lbm0dOoESX7ANjoagcaHumtKxQPLF3--d4Cb5YL3yZRrXF32LxRTsh73mBlf1SMjNRZ3VABN9gQF14I6cI4pT49rJs6WcoTywg1UzBR2Uv1uN9Xnb6rcVnlx5pf9cW_os7Ki2UOb0aiHBioo8ZYy', 'width': 4032}]",ChIJnSR09Dv2wokRz_B9gF6v96c,"{'compound_code': 'R24M+9M New York', 'global_code': '87G8R24M+9M'}",2.0,4.3,ChIJnSR09Dv2wokRz_B9gF6v96c,"['restaurant', 'food', 'point_of_interest', 'establishment']",819,
OPERATIONAL,"2896 Broadway, Manhattan, NY 10025, United States","{'location': {'lat': 40.8058205, 'lng': -73.9651586}, 'viewport': {'northeast': {'lat': 40.807206779892724, 'lng': -73.96389667010727}, 'southwest': {'lat': 40.80450712010727, 'lng': -73.96659632989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Junzi Kitchen,{'open_now': True},"[{'height': 3202, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104207107231754499146"">A Google User</a>'], 'photo_reference': 'ATtYBwIdStbMWo1yJZ9m2hEcl9UK6yMJt9VosJPcsNmX-KkSKitJRQtFw-_U3oRAe5jxNL4od3RehACfkhfb_pnNCja4s0R1odNUbuYZ7CHhn26WC0qmd7Y4B5OnBWTp3rLvvCe4BadgeYcgqSODX4NHFPooHa-HJAqV7JDasUJfbn5PPttf', 'width': 3769}]",ChIJ92N9DDz2wokR38VWvxg3qrE,"{'compound_code': 'R24M+8W New York', 'global_code': '87G8R24M+8W'}",2.0,4.4,ChIJ92N9DDz2wokR38VWvxg3qrE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",275,
OPERATIONAL,"1239 Amsterdam Ave, New York, NY 10027, United States","{'location': {'lat': 40.809733, 'lng': -73.958608}, 'viewport': {'northeast': {'lat': 40.81118392989273, 'lng': -73.95723977010728}, 'southwest': {'lat': 40.80848427010728, 'lng': -73.95993942989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Massawa,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110385093371219212267"">Massawa</a>'], 'photo_reference': 'ATtYBwIIV-L4i-qHereAvSNI3JI8XHikMTZslXmFKBBOTl80Uus9-t-gPrZWGNsjTHB7jgYMp3hOGN5GODSLA47B2phZw_-qavdYUWp8YQdomNvA2h-2T0Y7T1CNBRaqdssuVQvXi7H85MANZDJn5Cu9Ri1eP9ieLXEnPCN3X5Fo58rCvQoN', 'width': 5616}]",ChIJizsMQxX2wokRSD5_pzmhaYg,"{'compound_code': 'R25R+VH New York', 'global_code': '87G8R25R+VH'}",2.0,4.4,ChIJizsMQxX2wokRSD5_pzmhaYg,"['restaurant', 'food', 'point_of_interest', 'establishment']",315,
OPERATIONAL,"2937 Broadway, New York, NY 10025, United States","{'location': {'lat': 40.8072844, 'lng': -73.9647533}, 'viewport': {'northeast': {'lat': 40.80862232989273, 'lng': -73.96332222010727}, 'southwest': {'lat': 40.80592267010728, 'lng': -73.96602187989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,sweetgreen,{'open_now': True},"[{'height': 1350, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108465225404925945300"">sweetgreen</a>'], 'photo_reference': 'ATtYBwIpNdkMYGB84Ke4plDB11wnyHc6C5set1r-ywnD6gCOIrATUElwh8ap3gRJj2Rb5b7o71o3FQme4siSQULFiqk1ZN7caLJAqCWrvYSILnHU8yipK5FczMm-EduZNvOCKxESX7n-OKrGEGdVb67ONSJo5yw4Ojlt-GwgxmJR9DxrLlQz', 'width': 1080}]",ChIJ3W_Lrz72wokRy3BEhF4s20U,"{'compound_code': 'R24P+W3 New York', 'global_code': '87G8R24P+W3'}",2.0,4.1,ChIJ3W_Lrz72wokRy3BEhF4s20U,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",371,
OPERATIONAL,"519 W 114th St, New York, NY 10027, United States","{'location': {'lat': 40.8056922, 'lng': -73.962132}, 'viewport': {'northeast': {'lat': 40.80699642989272, 'lng': -73.96081537010728}, 'southwest': {'lat': 40.80429677010728, 'lng': -73.96351502989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,John Jay Dining Hall,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110471282787874059710"">Tetero Stella</a>'], 'photo_reference': 'ATtYBwIb-qBbVQBEQO2WxDF81gXPwfRhLKJLLFYloIbUz_h7_BiazRbGRGgBYRXlfJ55LVW1i2T351V_1n6s3qvndYVf8YZF-Ojv3ARZqjHJwYodFKVV5k3q1JiDbEasXLe1aIEu8oInBnjAlqSX_yF9O1dLX0ckQJ5D_czWrp-EyjpHt8WC', 'width': 4032}]",ChIJWfux0j32wokRPzoTR-HSfL8,"{'compound_code': 'R24Q+74 New York', 'global_code': '87G8R24Q+74'}",,4.3,ChIJWfux0j32wokRPzoTR-HSfL8,"['restaurant', 'food', 'point_of_interest', 'establishment']",140,
OPERATIONAL,"544 W 113th St, New York, NY 10025, United States","{'location': {'lat': 40.805465, 'lng': -73.9642992}, 'viewport': {'northeast': {'lat': 40.80688932989272, 'lng': -73.96289452010727}, 'southwest': {'lat': 40.80418967010728, 'lng': -73.96559417989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Symposium,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103455807015712672329"">Corey Cherrington</a>'], 'photo_reference': 'ATtYBwJwhHhw09IPejr4DIGPJemd-WyIHcdvk6XLE-91Gx4rlftmJWBJ1ZSGjLUWMNFuTFymX3DXWqkQhun0R4Q7XlaCTp2Mxvl_U3NPcXkdC670xrv3bObftk1wrs0pycHfoRzj7x3tBG7D1tzBTD26gjTizwnyXhOUWFdUB6TzHXsk8Jxp', 'width': 4032}]",ChIJAfmpFDz2wokRGWWAhkafMwA,"{'compound_code': 'R24P+57 New York', 'global_code': '87G8R24P+57'}",2.0,4.3,ChIJAfmpFDz2wokRGWWAhkafMwA,"['restaurant', 'food', 'point_of_interest', 'establishment']",215,
OPERATIONAL,"1207 Amsterdam Ave, New York, NY 10027, United States","{'location': {'lat': 40.8088612, 'lng': -73.9592644}, 'viewport': {'northeast': {'lat': 40.81027107989271, 'lng': -73.95802887010727}, 'southwest': {'lat': 40.80757142010727, 'lng': -73.96072852989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Elysian Fields,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113085289464438999868"">Alfredo Zempoalteca</a>'], 'photo_reference': 'ATtYBwIAaHvNHc7I3nCOw-q0rnZnJ2ChqyDw5gkaXOvxrhfsoca41HCyOD_PiOG8cH3oo9Z9s7I15IL7STT2PDZ0N1UjM5L_e3ykMGpYSExkcj44qdI2H-HpjxQv9Z8gwC0hN68A6Q9aFfGx3W4NGVLNnbGRiS4O_3zFzD-l1EMfy3IG1SII', 'width': 960}]",ChIJlXZKuDX3wokRxeOh8shaDHU,"{'compound_code': 'R25R+G7 New York', 'global_code': '87G8R25R+G7'}",2.0,4.2,ChIJlXZKuDX3wokRxeOh8shaDHU,"['meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",131,
OPERATIONAL,"2885 Broadway, New York, NY 10025, United States","{'location': {'lat': 40.8058032, 'lng': -73.9658918}, 'viewport': {'northeast': {'lat': 40.80711187989272, 'lng': -73.96444747010729}, 'southwest': {'lat': 40.80441222010727, 'lng': -73.96714712989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,Le Monde,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102180721136385980246"">Chen Jessica</a>'], 'photo_reference': 'ATtYBwJtSfwT-JNuXcKc9l7mP14JhFzthzLtTpEwM5t0mok9l82pG5-rWf21buGxtRNFXUF9PyIVPuutLWK5afxYJ2ROQuLZsIyhFkMC9R5OXXZ5WZ7AGT8CWIETcMR9nk6rwC9f6FPKjodELOBnPB66bWjkJW4CEvtYowYduiLtWLLT-jbM', 'width': 3024}]",ChIJqRJTizv2wokRwg_FF-6pYuU,"{'compound_code': 'R24M+8J New York', 'global_code': '87G8R24M+8J'}",2.0,4.0,ChIJqRJTizv2wokRwg_FF-6pYuU,"['restaurant', 'food', 'point_of_interest', 'establishment']",401,
OPERATIONAL,"1260 Amsterdam Ave, New York, NY 10027, United States","{'location': {'lat': 40.8108315, 'lng': -73.9583391}, 'viewport': {'northeast': {'lat': 40.81218132989272, 'lng': -73.95698927010727}, 'southwest': {'lat': 40.80948167010728, 'lng': -73.95968892989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,314,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113371823844601009307"">A Google User</a>'], 'photo_reference': 'ATtYBwKFTREfmdbPMg-eJnMM93GDJbAy4kExeC_sj0_HLuMpq-d3S3LMoIoBmBRpSvTPZb3M7EojgXFsCdKWIKaEcOkG86maLGfz2LS8ROIbb_rxs4ONOfjZlFJdBgAo2aXp8yFfdR0ZGiQLJ7XDtK2hh4MC9BXoobq_l6x7HjKfPBRUoW2U', 'width': 4032}]",ChIJx1MYBV_3wokRjeYHCXgKrJ8,"{'compound_code': 'R26R+8M New York', 'global_code': '87G8R26R+8M'}",2.0,4.6,ChIJx1MYBV_3wokRjeYHCXgKrJ8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",145,
OPERATIONAL,"1090 Amsterdam Ave, New York, NY 10025, United States","{'location': {'lat': 40.8055436, 'lng': -73.96241479999999}, 'viewport': {'northeast': {'lat': 40.80675107989273, 'lng': -73.96096037010726}, 'southwest': {'lat': 40.80405142010728, 'lng': -73.96366002989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,Strokos Gourmet Deli,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109425869084396492877"">Soundarya B</a>'], 'photo_reference': 'ATtYBwKy8xreOcquoluF4WUToaZsC1HAWn7hYHpu06CgQt1TbBO9200xwEwy6d55yf1432Cbq1iiKyYVs7TolxAzSDVMsTUbYK0Ep2n8tbeHpoWWIM5rSW7lOMfDPC3b0oIlHiohzKReVvqrZhbM3-OG4n8jJ53d2X_PyIbDfGtGyL0EAgbe', 'width': 4608}]",ChIJw6ajyj32wokR0NKOvGb2tXk,"{'compound_code': 'R24Q+62 New York', 'global_code': '87G8R24Q+62'}",1.0,4.0,ChIJw6ajyj32wokR0NKOvGb2tXk,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",368,
